File,Loading,Get groups,Save groups,Frames,Groups
0,1.1712939739227295,19.395992517471313,3.7265913486480713,902,13955
1,1.3605237007141113,20.959424257278442,4.101718902587891,1004,15136
2,1.1876583099365234,15.500714540481567,3.334994316101074,1012,12143
3,1.329411506652832,20.61810827255249,4.503632307052612,1088,15639
4,1.5441231727600098,21.49834179878235,4.469382286071777,1144,16123
5,1.8890535831451416,24.526995182037354,4.998084545135498,1213,18238
6,0.752981424331665,15.282111644744873,2.912174940109253,579,10300
7,1.70304536819458,28.05289363861084,5.404541969299316,1094,19314
8,1.4597492218017578,24.82470703125,4.832662343978882,1069,17471
9,0.7688243389129639,15.31842565536499,2.910473108291626,605,10318
10,1.7342102527618408,64.47461676597595,8.01276421546936,612,26341
11,3.2222559452056885,121.61379027366638,14.414361953735352,918,45316
12,3.228170394897461,95.80953073501587,12.979479789733887,1071,41787
13,3.3959107398986816,85.73715090751648,12.298449516296387,1097,39246
14,0.9280660152435303,18.118343353271484,3.5732786655426025,724,12443
15,1.2154741287231445,18.7805073261261,3.857524871826172,947,13501
16,1.1658918857574463,18.253925561904907,3.6637232303619385,912,12969
17,0.7221817970275879,9.997667789459229,2.136880397796631,584,7634
18,1.1780922412872314,17.862306356430054,3.6746556758880615,964,13129
19,1.4285731315612793,23.69927978515625,4.500341415405273,1010,16246
20,1.304450511932373,19.607301950454712,4.1150596141815186,1004,14150
21,0.6495027542114258,14.716387033462524,2.6968555450439453,533,9448
22,1.3975446224212646,30.191020011901855,5.205848693847656,957,18703
23,1.510974407196045,27.591879844665527,4.984517335891724,967,17648
24,6.776447534561157,289.94594860076904,27.65344262123108,1179,80819
25,5.007356405258179,191.77903938293457,21.175827264785767,1121,63498
26,2.963733196258545,79.86688160896301,11.809897661209106,1209,38129
27,2.6555705070495605,59.29739308357239,9.744611978530884,1251,32735
28,2.3220348358154297,56.667938232421875,8.908927202224731,1120,30298
29,2.7942018508911133,68.36167311668396,10.687453508377075,1203,35342
30,2.46559476852417,62.73821425437927,9.594956398010254,1119,32305
31,1.560652732849121,34.53944540023804,6.623462915420532,778,19637
32,2.425872325897217,61.37252640724182,10.243937253952026,1112,32119
33,1.7638664245605469,50.0961639881134,8.58861494064331,845,25451
34,2.280306577682495,49.42699313163757,8.135786533355713,1085,27678
35,3.0024960041046143,75.80994439125061,11.477679014205933,1242,38084
36,2.3209173679351807,49.83467745780945,8.372327089309692,1075,27681
37,2.5967748165130615,62.98660206794739,9.771591424942017,1157,33278
38,2.33524227142334,50.8787739276886,8.516775369644165,1191,29109
39,2.5280418395996094,58.916375398635864,9.336389303207397,1175,31838
40,2.4345972537994385,58.50984168052673,9.1735999584198,1119,31161
41,2.5199408531188965,65.05102372169495,9.810189485549927,1070,32919
42,2.4616546630859375,58.801215410232544,9.179126977920532,1019,30207
43,2.8816463947296143,65.27626204490662,10.016422986984253,1176,34111
44,2.5308837890625,62.640530586242676,9.698296308517456,1114,32658
45,3.3471248149871826,99.99925947189331,13.324475765228271,1189,43615
46,2.7712881565093994,70.42824912071228,10.457135438919067,1015,34180
47,2.887657880783081,68.60850477218628,10.429920434951782,1116,34801
48,2.1338744163513184,52.75027322769165,8.419811964035034,1035,28373
49,2.3662097454071045,54.81596088409424,8.979690790176392,1136,30202
50,2.5908613204956055,57.616766929626465,8.97195291519165,1107,30813
51,2.1280319690704346,53.4582953453064,8.348220348358154,1010,28484
52,2.7154154777526855,68.2216100692749,10.171112775802612,1059,33583
53,2.3759918212890625,59.037373542785645,9.37288212776184,1071,30997
54,2.245138645172119,55.77397274971008,8.732062101364136,1064,29499
55,1.9681284427642822,43.8762092590332,7.188874244689941,951,24399
56,2.1450884342193604,43.24852657318115,7.451150178909302,1064,25632
57,0.5787861347198486,15.889906644821167,2.753450870513916,390,9345
58,0.5971732139587402,14.713268280029297,2.6860544681549072,455,9268
59,1.4880902767181396,31.696879148483276,5.739370346069336,961,20019
